"","fiscal_yr","years_in_care","Movement Rate","Lower Limit","Upper Limit","type"
"1",2000,0,88.868805543003,84.050769474406,133.495609441029,"Transition to Kin"
"4",2001,0,92.692105157807,84.050769474406,133.495609441029,"Transition to Kin"
"7",2002,0,99.659843186395,84.050769474406,133.495609441029,"Transition to Kin"
"10",2003,0,100.978404299829,84.050769474406,133.495609441029,"Transition to Kin"
"13",2004,0,106.25489253315,84.050769474406,133.495609441029,"Transition to Kin"
"16",2005,0,109.851730015492,84.050769474406,133.495609441029,"Transition to Kin"
"19",2006,0,108.764064409003,84.050769474406,133.495609441029,"Transition to Kin"
"22",2007,0,111.532814477462,84.050769474406,133.495609441029,"Transition to Kin"
"25",2008,0,116.443625925923,84.050769474406,133.495609441029,"Transition to Kin"
"28",2009,0,111.188028857101,84.050769474406,133.495609441029,"Transition to Kin"
"31",2010,0,115.283717498531,84.050769474406,133.495609441029,"Transition to Kin"
"34",2011,0,108.776361618249,84.050769474406,133.495609441029,"Transition to Kin"
"37",2012,0,117.484174310616,84.050769474406,133.495609441029,"Transition to Kin"
"40",2013,0,135.046084575485,84.050769474406,133.495609441029,"Transition to Kin"
"43",2014,0,132.889590048013,84.050769474406,133.495609441029,"Transition to Kin"
"2",2000,1,59.07387740158,41.3562483075605,80.9258929554778,"Transition to Kin"
"5",2001,1,50.124740810675,41.3562483075605,80.9258929554778,"Transition to Kin"
"8",2002,1,52.51344094024,41.3562483075605,80.9258929554778,"Transition to Kin"
"11",2003,1,55.534835540891,41.3562483075605,80.9258929554778,"Transition to Kin"
"14",2004,1,50.339855414112,41.3562483075605,80.9258929554778,"Transition to Kin"
"17",2005,1,59.524648135363,41.3562483075605,80.9258929554778,"Transition to Kin"
"20",2006,1,59.485070015683,41.3562483075605,80.9258929554778,"Transition to Kin"
"23",2007,1,56.276926460151,41.3562483075605,80.9258929554778,"Transition to Kin"
"26",2008,1,59.620740898938,41.3562483075605,80.9258929554778,"Transition to Kin"
"29",2009,1,63.776532159075,41.3562483075605,80.9258929554778,"Transition to Kin"
"32",2010,1,64.709542097954,41.3562483075605,80.9258929554778,"Transition to Kin"
"35",2011,1,81.905170758159,41.3562483075605,80.9258929554778,"Transition to Kin"
"38",2012,1,70.775426166469,41.3562483075605,80.9258929554778,"Transition to Kin"
"41",2013,1,72.314182041978,41.3562483075605,80.9258929554778,"Transition to Kin"
"44",2014,1,73.594417727129,41.3562483075605,80.9258929554778,"Transition to Kin"
"3",2000,2,37.825221685887,23.7986435366995,64.5270476500292,"Transition to Kin"
"6",2001,2,35.703955455925,23.7986435366995,64.5270476500292,"Transition to Kin"
"9",2002,2,36.932220785969,23.7986435366995,64.5270476500292,"Transition to Kin"
"12",2003,2,38.12267028126,23.7986435366995,64.5270476500292,"Transition to Kin"
"15",2004,2,34.251152843681,23.7986435366995,64.5270476500292,"Transition to Kin"
"18",2005,2,40.827347842523,23.7986435366995,64.5270476500292,"Transition to Kin"
"21",2006,2,41.361775636697,23.7986435366995,64.5270476500292,"Transition to Kin"
"24",2007,2,35.349375933091,23.7986435366995,64.5270476500292,"Transition to Kin"
"27",2008,2,43.127537982923,23.7986435366995,64.5270476500292,"Transition to Kin"
"30",2009,2,55.185728805797,23.7986435366995,64.5270476500292,"Transition to Kin"
"33",2010,2,46.72076076283,23.7986435366995,64.5270476500292,"Transition to Kin"
"36",2011,2,55.107684405024,23.7986435366995,64.5270476500292,"Transition to Kin"
"39",2012,2,58.826243425302,23.7986435366995,64.5270476500292,"Transition to Kin"
"42",2013,2,58.938162460192,23.7986435366995,64.5270476500292,"Transition to Kin"
