"","fiscal_yr","exits","exits_with_plans","planning_rate","lower","upper"
"1",2013,469,296,0.631130063965885,0.586561993900782,0.673567480166006
"2",2014,500,409,0.818,0.781797364670608,0.849353554795844
"3",2012,527,360,0.683111954459203,0.642185705306968,0.72138800732046
